"","method","sites","weight","minCR","resample","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
"39","glmnet","RFsites","ci.wt","minCR3","best",3.89,1.77,8.01,0.72,-1.16,2.05,3.99,10.37,2.3,-0.16,-8.05
"40","glmnet","RFsites","ci.wt","minCR4","best",3.92,2.04,8.05,0.68,-0.33,2.57,3.61,11.34,2.51,1.05,-7.21
"41","glmnet","RFsites","none","minCR2","best",3.84,1.86,7.34,0.73,-2.14,1.82,3.89,10.37,2.45,-0.85,-11.22
"42","glmnet","RFsites","none","minCR2","ranAge",3.61,1.73,6.73,0.72,-0.12,2.41,3.27,7.5,3.5,1.28,-8.11
"43","glmnet","RFsites","none","minCR2","ranAgeMeth",4.07,1.9,6.73,0.71,-0.18,2.67,3.53,7.09,3.73,1.28,-8.68
"44","glmnet","RFsites","none","minCR3","best",3.79,1.87,8.28,0.71,-1.14,1.9,3.88,10.46,2.32,-0.09,-8.16
"45","glmnet","RFsites","none","minCR4","best",3.86,1.82,7.74,0.74,-0.36,2.48,4.1,10.88,2.41,0.83,-6.73
"46","glmnet","RFsites","none","minCR4","ranAge",3.48,1.74,8.68,0.71,-0.17,2.66,3.06,9.99,2.58,1.24,-6.98
"47","glmnet","RFsites","none","minCR4","ranAgeMeth",3.85,1.43,7.64,0.7,-0.62,1.98,3.57,9.05,2.98,0.89,-8.82
"48","glmnet","glmnet.5","CR","minCR2","best",3.46,1.81,7.79,0.74,-1.66,1.63,4.22,11.24,2.03,0.09,-10.52
"49","glmnet","glmnet.5","CR","minCR3","best",4,1.93,8.07,0.73,-1.33,1.89,4.06,10.27,2.17,0.47,-10.05
"50","glmnet","glmnet.5","CR","minCR4","best",4.14,1.57,8.57,0.7,-0.99,1.73,3.61,10.35,2.14,1.24,-10.14
"51","glmnet","glmnet.5","ci.wt","minCR2","best",3.41,1.78,7.72,0.74,-1.7,1.78,4.25,11.51,1.99,0.06,-10.58
"52","glmnet","glmnet.5","ci.wt","minCR3","best",3.56,2.03,7.9,0.73,-1.24,1.84,4.09,10.24,2.21,0.57,-9.9
"53","glmnet","glmnet.5","ci.wt","minCR4","best",4.22,1.8,8.22,0.68,-0.85,1.81,4.2,10.27,2.26,1.47,-10.15
"54","glmnet","glmnet.5","none","minCR2","best",3.42,1.71,7.01,0.74,-1.8,1.71,4.03,11.86,1.95,-0.03,-10.79
"55","glmnet","glmnet.5","none","minCR3","best",3.75,1.96,7.4,0.72,-1.09,1.75,4.28,10.2,2.33,0.68,-9.61
"56","glmnet","glmnet.5","none","minCR4","best",3.57,1.75,8.25,0.7,-0.45,1.75,4.06,10.11,2.4,1.75,-9.15
"57","rf","Allsites","CR","minCR2","best",3.7,1.76,6.7,0.75,-2.19,1.8,3.28,11.51,3.08,-1,-11.99
"58","rf","Allsites","CR","minCR3","best",3.63,1.91,6.45,0.75,-2.02,1.8,3.03,10.96,3.11,-0.82,-11.62
"59","rf","Allsites","CR","minCR4","best",4.2,1.98,6.48,0.72,-1.81,2.37,3.2,11.5,3.6,-0.47,-12.09
"60","rf","Allsites","ci.wt","minCR2","best",3.81,1.72,6.71,0.75,-2.22,1.73,3.2,11.66,3.05,-1.04,-12
"61","rf","Allsites","ci.wt","minCR3","best",3.57,1.8,6.64,0.75,-2.08,1.64,2.97,10.92,3.1,-0.93,-11.64
"62","rf","Allsites","ci.wt","minCR4","best",4.17,1.97,6.49,0.71,-1.83,2.38,3.27,11.38,3.63,-0.5,-12.17
"63","rf","Allsites","none","minCR2","best",3.87,1.78,6.64,0.75,-2.19,1.76,3.14,11.95,3.1,-1.01,-12
"64","rf","Allsites","none","minCR3","best",3.86,1.83,6.47,0.75,-1.9,1.68,3.14,10.56,3.1,-0.73,-11.25
"65","rf","Allsites","none","minCR4","best",4.25,1.92,6.8,0.72,-1.66,2.48,3.23,11.45,3.66,-0.28,-11.91
"66","rf","RFsites","CR","minCR2","best",3.71,1.24,6.49,0.79,-1.72,1.17,3.36,8.01,2.6,-0.82,-9.57
"67","rf","RFsites","CR","minCR3","best",3.68,0.91,6.19,0.78,-1.44,1.21,3.35,7.15,2.54,-0.44,-9.04
